ncbi-geneid:1	hsa:1
ncbi-geneid:100126310	hsa:100126310
ncbi-geneid:100126314	hsa:100126314
ncbi-geneid:100126315	hsa:100126315
ncbi-geneid:100126316	hsa:100126316
ncbi-geneid:100126317	hsa:100126317
ncbi-geneid:100126320	hsa:100126320
ncbi-geneid:100126321	hsa:100126321
ncbi-geneid:100126323	hsa:100126323
ncbi-geneid:100126324	hsa:100126324
ncbi-geneid:100126306	hsa:100126306
ncbi-geneid:100126319	hsa:100126319
ncbi-geneid:100126311	hsa:100126311
ncbi-geneid:100126313	hsa:100126313
ncbi-geneid:100126318	hsa:100126318
ncbi-geneid:100126325	hsa:100126325
ncbi-geneid:100126326	hsa:100126326
ncbi-geneid:100126327	hsa:100126327
ncbi-geneid:100126328	hsa:100126328
ncbi-geneid:100126329	hsa:100126329
ncbi-geneid:100126330	hsa:100126330
ncbi-geneid:100126331	hsa:100126331
ncbi-geneid:100126332	hsa:100126332
ncbi-geneid:100126333	hsa:100126333
ncbi-geneid:100126335	hsa:100126335
ncbi-geneid:100126336	hsa:100126336
ncbi-geneid:100126337	hsa:100126337
ncbi-geneid:100126338	hsa:100126338
ncbi-geneid:100126339	hsa:100126339
ncbi-geneid:100126340	hsa:100126340
ncbi-geneid:100126334	hsa:100126334
ncbi-geneid:100126341	hsa:100126341
ncbi-geneid:100126342	hsa:100126342
ncbi-geneid:100126343	hsa:100126343
ncbi-geneid:100126345	hsa:100126345
ncbi-geneid:100126346	hsa:100126346
ncbi-geneid:100126348	hsa:100126348
ncbi-geneid:100126349	hsa:100126349
ncbi-geneid:100126350	hsa:100126350
ncbi-geneid:100126351	hsa:100126351
ncbi-geneid:100126352	hsa:100126352
ncbi-geneid:100126354	hsa:100126354
ncbi-geneid:100126356	hsa:100126356
ncbi-geneid:100126584	hsa:100126584
ncbi-geneid:100126693	hsa:100126693
ncbi-geneid:100126780	hsa:100126780
ncbi-geneid:100126781	hsa:100126781
ncbi-geneid:100126784	hsa:100126784
ncbi-geneid:100126791	hsa:100126791
ncbi-geneid:100126793	hsa:100126793
ncbi-geneid:100126798	hsa:100126798
ncbi-geneid:100126799	hsa:100126799
ncbi-geneid:100126800	hsa:100126800
ncbi-geneid:100127206	hsa:100127206
ncbi-geneid:100127888	hsa:100127888
ncbi-geneid:100127950	hsa:100127950
ncbi-geneid:100127967	hsa:100127967
ncbi-geneid:100127983	hsa:100127983
ncbi-geneid:100128002	hsa:100128002
ncbi-geneid:100128006	hsa:100128006
ncbi-geneid:100128023	hsa:100128023
ncbi-geneid:100128025	hsa:100128025
ncbi-geneid:100128028	hsa:100128028
ncbi-geneid:100128054	hsa:100128054
ncbi-geneid:100128055	hsa:100128055
ncbi-geneid:100128059	hsa:100128059
ncbi-geneid:100128071	hsa:100128071
ncbi-geneid:100128076	hsa:100128076
ncbi-geneid:100128079	hsa:100128079
ncbi-geneid:100128098	hsa:100128098
ncbi-geneid:100128108	hsa:100128108
ncbi-geneid:100128124	hsa:100128124
ncbi-geneid:100128126	hsa:100128126
ncbi-geneid:100128127	hsa:100128127
ncbi-geneid:100128164	hsa:100128164
ncbi-geneid:100128191	hsa:100128191
ncbi-geneid:100128233	hsa:100128233
ncbi-geneid:100128239	hsa:100128239
ncbi-geneid:100128242	hsa:100128242
ncbi-geneid:100128252	hsa:100128252
ncbi-geneid:100128253	hsa:100128253
ncbi-geneid:100128262	hsa:100128262
ncbi-geneid:100128276	hsa:100128276
ncbi-geneid:100128285	hsa:100128285
ncbi-geneid:100128288	hsa:100128288
ncbi-geneid:100128292	hsa:100128292
ncbi-geneid:100128310	hsa:100128310
ncbi-geneid:100128317	hsa:100128317
ncbi-geneid:100128325	hsa:100128325
ncbi-geneid:100128327	hsa:100128327
ncbi-geneid:100128338	hsa:100128338
ncbi-geneid:100128340	hsa:100128340
ncbi-geneid:100128361	hsa:100128361
ncbi-geneid:100126347	hsa:100126347
ncbi-geneid:100126355	hsa:100126355
ncbi-geneid:100126447	hsa:100126447
ncbi-geneid:100127955	hsa:100127955
ncbi-geneid:100128081	hsa:100128081
ncbi-geneid:100128139	hsa:100128139
ncbi-geneid:100128176	hsa:100128176
ncbi-geneid:100128260	hsa:100128260
ncbi-geneid:100128264	hsa:100128264
ncbi-geneid:100128364	hsa:100128364
ncbi-geneid:100128378	hsa:100128378
ncbi-geneid:100128385	hsa:100128385
ncbi-geneid:100128386	hsa:100128386
ncbi-geneid:100128398	hsa:100128398
ncbi-geneid:100128420	hsa:100128420
ncbi-geneid:100128494	hsa:100128494
ncbi-geneid:100128496	hsa:100128496
ncbi-geneid:100128505	hsa:100128505
ncbi-geneid:100128511	hsa:100128511
ncbi-geneid:100128531	hsa:100128531
ncbi-geneid:100128537	hsa:100128537
ncbi-geneid:100128554	hsa:100128554
ncbi-geneid:100128560	hsa:100128560
ncbi-geneid:100128568	hsa:100128568
ncbi-geneid:100128573	hsa:100128573
ncbi-geneid:100128590	hsa:100128590
ncbi-geneid:100128593	hsa:100128593
ncbi-geneid:100128594	hsa:100128594
ncbi-geneid:100128627	hsa:100128627
ncbi-geneid:100128640	hsa:100128640
ncbi-geneid:100128653	hsa:100128653
ncbi-geneid:100128682	hsa:100128682
ncbi-geneid:100128688	hsa:100128688
ncbi-geneid:100128731	hsa:100128731
ncbi-geneid:100128750	hsa:100128750
ncbi-geneid:100128782	hsa:100128782
ncbi-geneid:100128787	hsa:100128787
ncbi-geneid:100128788	hsa:100128788
ncbi-geneid:100128811	hsa:100128811
ncbi-geneid:100128818	hsa:100128818
ncbi-geneid:100128822	hsa:100128822
ncbi-geneid:100128881	hsa:100128881
ncbi-geneid:100128882	hsa:100128882
ncbi-geneid:100128885	hsa:100128885
ncbi-geneid:100128890	hsa:100128890
ncbi-geneid:100128893	hsa:100128893
ncbi-geneid:100128905	hsa:100128905
ncbi-geneid:100128908	hsa:100128908
ncbi-geneid:100128927	hsa:100128927
ncbi-geneid:100128946	hsa:100128946
ncbi-geneid:100128966	hsa:100128966
ncbi-geneid:100128977	hsa:100128977
ncbi-geneid:100128988	hsa:100128988
ncbi-geneid:100128993	hsa:100128993
ncbi-geneid:100128998	hsa:100128998
ncbi-geneid:100129027	hsa:100129027
ncbi-geneid:100129029	hsa:100129029
ncbi-geneid:100129034	hsa:100129034
ncbi-geneid:100129046	hsa:100129046
ncbi-geneid:100129055	hsa:100129055
ncbi-geneid:100129060	hsa:100129060
ncbi-geneid:100129066	hsa:100129066
ncbi-geneid:100129075	hsa:100129075
ncbi-geneid:100129083	hsa:100129083
ncbi-geneid:100129094	hsa:100129094
ncbi-geneid:100129098	hsa:100129098
ncbi-geneid:100129128	hsa:100129128
ncbi-geneid:100129129	hsa:100129129
ncbi-geneid:100129138	hsa:100129138
ncbi-geneid:100129148	hsa:100129148
ncbi-geneid:100129175	hsa:100129175
ncbi-geneid:100129195	hsa:100129195
ncbi-geneid:100129196	hsa:100129196
ncbi-geneid:100129203	hsa:100129203
ncbi-geneid:100129213	hsa:100129213
ncbi-geneid:100129215	hsa:100129215
ncbi-geneid:100129216	hsa:100129216
ncbi-geneid:100129223	hsa:100129223
ncbi-geneid:100129239	hsa:100129239
ncbi-geneid:100129250	hsa:100129250
ncbi-geneid:100129269	hsa:100129269
ncbi-geneid:100129271	hsa:100129271
ncbi-geneid:100128553	hsa:100128553
ncbi-geneid:100128569	hsa:100128569
ncbi-geneid:100128675	hsa:100128675
ncbi-geneid:100128714	hsa:100128714
ncbi-geneid:100128979	hsa:100128979
ncbi-geneid:100128770	hsa:100128770
ncbi-geneid:100129278	hsa:100129278
ncbi-geneid:100129291	hsa:100129291
ncbi-geneid:100129297	hsa:100129297
ncbi-geneid:100129316	hsa:100129316
ncbi-geneid:100129345	hsa:100129345
ncbi-geneid:100129347	hsa:100129347
ncbi-geneid:100129354	hsa:100129354
ncbi-geneid:100129361	hsa:100129361
ncbi-geneid:100129385	hsa:100129385
ncbi-geneid:100129387	hsa:100129387
ncbi-geneid:100129396	hsa:100129396
ncbi-geneid:100129405	hsa:100129405
ncbi-geneid:100129424	hsa:100129424
ncbi-geneid:100129427	hsa:100129427
ncbi-geneid:100129434	hsa:100129434
ncbi-geneid:100129455	hsa:100129455
ncbi-geneid:100129460	hsa:100129460
ncbi-geneid:100129461	hsa:100129461
ncbi-geneid:100129464	hsa:100129464
ncbi-geneid:100129473	hsa:100129473
ncbi-geneid:100129476	hsa:100129476
ncbi-geneid:100129484	hsa:100129484
ncbi-geneid:100129503	hsa:100129503
ncbi-geneid:100129515	hsa:100129515
ncbi-geneid:100129518	hsa:100129518
ncbi-geneid:100129528	hsa:100129528
ncbi-geneid:100129534	hsa:100129534
ncbi-geneid:100129540	hsa:100129540
ncbi-geneid:100129543	hsa:100129543
ncbi-geneid:100129550	hsa:100129550
ncbi-geneid:100129583	hsa:100129583
ncbi-geneid:100129597	hsa:100129597
ncbi-geneid:100129603	hsa:100129603
ncbi-geneid:100129617	hsa:100129617
ncbi-geneid:100129620	hsa:100129620
ncbi-geneid:100129636	hsa:100129636
ncbi-geneid:100129662	hsa:100129662
ncbi-geneid:100129669	hsa:100129669
ncbi-geneid:100129697	hsa:100129697
ncbi-geneid:100129716	hsa:100129716
ncbi-geneid:100129722	hsa:100129722
ncbi-geneid:100129724	hsa:100129724
ncbi-geneid:100129307	hsa:100129307
ncbi-geneid:100129407	hsa:100129407
ncbi-geneid:100129480	hsa:100129480
ncbi-geneid:100129482	hsa:100129482
ncbi-geneid:100129516	hsa:100129516
ncbi-geneid:100129520	hsa:100129520
ncbi-geneid:100129654	hsa:100129654
ncbi-geneid:100129726	hsa:100129726
ncbi-geneid:100129781	hsa:100129781
ncbi-geneid:100129794	hsa:100129794
ncbi-geneid:100129800	hsa:100129800
ncbi-geneid:100129827	hsa:100129827
ncbi-geneid:100129836	hsa:100129836
ncbi-geneid:100129842	hsa:100129842
ncbi-geneid:100129845	hsa:100129845
ncbi-geneid:100129858	hsa:100129858
ncbi-geneid:100129869	hsa:100129869
ncbi-geneid:100129878	hsa:100129878
ncbi-geneid:100129917	hsa:100129917
ncbi-geneid:100129931	hsa:100129931
ncbi-geneid:100129935	hsa:100129935
ncbi-geneid:100129940	hsa:100129940
ncbi-geneid:100129969	hsa:100129969
ncbi-geneid:100129973	hsa:100129973
ncbi-geneid:100129995	hsa:100129995
ncbi-geneid:100130015	hsa:100130015
ncbi-geneid:100130017	hsa:100130017
ncbi-geneid:100130027	hsa:100130027
ncbi-geneid:100130075	hsa:100130075
ncbi-geneid:100130083	hsa:100130083
ncbi-geneid:100130111	hsa:100130111
ncbi-geneid:100130148	hsa:100130148
ncbi-geneid:100130155	hsa:100130155
ncbi-geneid:100130172	hsa:100130172
ncbi-geneid:100130197	hsa:100130197
ncbi-geneid:100130207	hsa:100130207
ncbi-geneid:100130231	hsa:100130231
ncbi-geneid:100130238	hsa:100130238
ncbi-geneid:100130249	hsa:100130249
ncbi-geneid:100130256	hsa:100130256
ncbi-geneid:100130264	hsa:100130264
ncbi-geneid:100130268	hsa:100130268
ncbi-geneid:100130274	hsa:100130274
ncbi-geneid:100130275	hsa:100130275
ncbi-geneid:100130298	hsa:100130298
ncbi-geneid:100130301	hsa:100130301
ncbi-geneid:100130302	hsa:100130302
ncbi-geneid:100130331	hsa:100130331
ncbi-geneid:100130342	hsa:100130342
ncbi-geneid:100130345	hsa:100130345
ncbi-geneid:100130357	hsa:100130357
ncbi-geneid:100130361	hsa:100130361
ncbi-geneid:100130370	hsa:100130370
ncbi-geneid:100130373	hsa:100130373
ncbi-geneid:100130386	hsa:100130386
ncbi-geneid:100130417	hsa:100130417
ncbi-geneid:100130418	hsa:100130418
ncbi-geneid:100130449	hsa:100130449
ncbi-geneid:100130451	hsa:100130451
ncbi-geneid:100130452	hsa:100130452
ncbi-geneid:100130460	hsa:100130460
ncbi-geneid:100130476	hsa:100130476
ncbi-geneid:100130480	hsa:100130480
ncbi-geneid:100130502	hsa:100130502
ncbi-geneid:100130520	hsa:100130520
ncbi-geneid:100130522	hsa:100130522
ncbi-geneid:100130548	hsa:100130548
ncbi-geneid:100130557	hsa:100130557
ncbi-geneid:100129792	hsa:100129792
ncbi-geneid:100129924	hsa:100129924
ncbi-geneid:100129961	hsa:100129961
ncbi-geneid:10013	hsa:10013
ncbi-geneid:100130086	hsa:100130086
ncbi-geneid:100130283	hsa:100130283
ncbi-geneid:100130311	hsa:100130311
ncbi-geneid:100130348	hsa:100130348
ncbi-geneid:100130519	hsa:100130519
ncbi-geneid:100130539	hsa:100130539
ncbi-geneid:100130581	hsa:100130581
ncbi-geneid:100130587	hsa:100130587
ncbi-geneid:100130673	hsa:100130673
ncbi-geneid:100130691	hsa:100130691
ncbi-geneid:100130698	hsa:100130698
ncbi-geneid:100130700	hsa:100130700
ncbi-geneid:100130701	hsa:100130701
ncbi-geneid:100130705	hsa:100130705
ncbi-geneid:100130717	hsa:100130717
ncbi-geneid:100130742	hsa:100130742
ncbi-geneid:100130744	hsa:100130744
ncbi-geneid:100130771	hsa:100130771
ncbi-geneid:100130776	hsa:100130776
ncbi-geneid:100130778	hsa:100130778
ncbi-geneid:100130849	hsa:100130849
ncbi-geneid:100130855	hsa:100130855
ncbi-geneid:100130872	hsa:100130872
ncbi-geneid:100130876	hsa:100130876
ncbi-geneid:100130880	hsa:100130880
ncbi-geneid:100130887	hsa:100130887
ncbi-geneid:100130889	hsa:100130889
ncbi-geneid:100130894	hsa:100130894
ncbi-geneid:100130899	hsa:100130899
ncbi-geneid:100130933	hsa:100130933
ncbi-geneid:100130934	hsa:100130934
ncbi-geneid:100130935	hsa:100130935
ncbi-geneid:100130950	hsa:100130950
ncbi-geneid:100130954	hsa:100130954
ncbi-geneid:100130958	hsa:100130958
ncbi-geneid:100130964	hsa:100130964
ncbi-geneid:100130987	hsa:100130987
ncbi-geneid:100130988	hsa:100130988
ncbi-geneid:100130992	hsa:100130992
ncbi-geneid:100131017	hsa:100131017
ncbi-geneid:100131047	hsa:100131047
ncbi-geneid:100131060	hsa:100131060
ncbi-geneid:100131067	hsa:100131067
ncbi-geneid:100131089	hsa:100131089
ncbi-geneid:100131094	hsa:100131094
ncbi-geneid:100131096	hsa:100131096
ncbi-geneid:100131107	hsa:100131107
ncbi-geneid:100131117	hsa:100131117
ncbi-geneid:100131138	hsa:100131138
ncbi-geneid:100131176	hsa:100131176
ncbi-geneid:100131193	hsa:100131193
ncbi-geneid:100131205	hsa:100131205
ncbi-geneid:100131208	hsa:100131208
ncbi-geneid:100131213	hsa:100131213
ncbi-geneid:100131234	hsa:100131234
ncbi-geneid:100131244	hsa:100131244
ncbi-geneid:100131257	hsa:100131257
ncbi-geneid:100131289	hsa:100131289
ncbi-geneid:100131303	hsa:100131303
ncbi-geneid:100131315	hsa:100131315
ncbi-geneid:100131320	hsa:100131320
ncbi-geneid:100131347	hsa:100131347
ncbi-geneid:100131366	hsa:100131366
ncbi-geneid:100131372	hsa:100131372
ncbi-geneid:100131378	hsa:100131378
ncbi-geneid:100131390	hsa:100131390
ncbi-geneid:100131395	hsa:100131395
ncbi-geneid:100131434	hsa:100131434
ncbi-geneid:100131439	hsa:100131439
ncbi-geneid:100131454	hsa:100131454
ncbi-geneid:100131472	hsa:100131472
ncbi-geneid:100131496	hsa:100131496
ncbi-geneid:100131532	hsa:100131532
ncbi-geneid:100131539	hsa:100131539
ncbi-geneid:100131551	hsa:100131551
ncbi-geneid:100131561	hsa:100131561
ncbi-geneid:100131564	hsa:100131564
ncbi-geneid:100131604	hsa:100131604
ncbi-geneid:100131608	hsa:100131608
ncbi-geneid:100131626	hsa:100131626
ncbi-geneid:100131635	hsa:100131635
ncbi-geneid:100131655	hsa:100131655
ncbi-geneid:100131691	hsa:100131691
ncbi-geneid:100131726	hsa:100131726
ncbi-geneid:100131733	hsa:100131733
ncbi-geneid:100131755	hsa:100131755
ncbi-geneid:100131814	hsa:100131814
ncbi-geneid:100131816	hsa:100131816
ncbi-geneid:100131825	hsa:100131825
ncbi-geneid:100131897	hsa:100131897
ncbi-geneid:100131943	hsa:100131943
ncbi-geneid:100131980	hsa:100131980
ncbi-geneid:100131997	hsa:100131997
ncbi-geneid:100131998	hsa:100131998
ncbi-geneid:100132004	hsa:100132004
ncbi-geneid:100132057	hsa:100132057
ncbi-geneid:100132062	hsa:100132062
ncbi-geneid:100132074	hsa:100132074
ncbi-geneid:100132077	hsa:100132077
ncbi-geneid:100132101	hsa:100132101
ncbi-geneid:100132103	hsa:100132103
ncbi-geneid:100132111	hsa:100132111
ncbi-geneid:100132116	hsa:100132116
ncbi-geneid:100132147	hsa:100132147
ncbi-geneid:100132154	hsa:100132154
ncbi-geneid:100132159	hsa:100132159
ncbi-geneid:100132163	hsa:100132163
ncbi-geneid:100132169	hsa:100132169
ncbi-geneid:100132174	hsa:100132174
ncbi-geneid:100132202	hsa:100132202
ncbi-geneid:100132215	hsa:100132215
ncbi-geneid:100132234	hsa:100132234
ncbi-geneid:100132247	hsa:100132247
ncbi-geneid:100132249	hsa:100132249
ncbi-geneid:100132273	hsa:100132273
ncbi-geneid:100132287	hsa:100132287
ncbi-geneid:100132288	hsa:100132288
ncbi-geneid:100132304	hsa:100132304
ncbi-geneid:100132341	hsa:100132341
ncbi-geneid:100130613	hsa:100130613
ncbi-geneid:100130733	hsa:100130733
ncbi-geneid:100130827	hsa:100130827
ncbi-geneid:100130890	hsa:100130890
ncbi-geneid:100130967	hsa:100130967
ncbi-geneid:100131137	hsa:100131137
ncbi-geneid:100131187	hsa:100131187
ncbi-geneid:100131211	hsa:100131211
ncbi-geneid:100131801	hsa:100131801
ncbi-geneid:100131827	hsa:100131827
ncbi-geneid:100131902	hsa:100131902
ncbi-geneid:100132078	hsa:100132078
ncbi-geneid:100132146	hsa:100132146
ncbi-geneid:100132285	hsa:100132285
ncbi-geneid:100132356	hsa:100132356
ncbi-geneid:100132396	hsa:100132396
ncbi-geneid:100132403	hsa:100132403
ncbi-geneid:100132417	hsa:100132417
ncbi-geneid:100132464	hsa:100132464
ncbi-geneid:100132476	hsa:100132476
ncbi-geneid:100132501	hsa:100132501
ncbi-geneid:100132526	hsa:100132526
ncbi-geneid:100132529	hsa:100132529
ncbi-geneid:100132541	hsa:100132541
ncbi-geneid:100132565	hsa:100132565
ncbi-geneid:100132594	hsa:100132594
ncbi-geneid:100132596	hsa:100132596
ncbi-geneid:100132612	hsa:100132612
ncbi-geneid:100132618	hsa:100132618
ncbi-geneid:100132352	hsa:100132352
ncbi-geneid:100132354	hsa:100132354
ncbi-geneid:100132386	hsa:100132386
ncbi-geneid:100132399	hsa:100132399
ncbi-geneid:100132406	hsa:100132406
ncbi-geneid:100132463	hsa:100132463
ncbi-geneid:100132677	hsa:100132677
ncbi-geneid:100132686	hsa:100132686
ncbi-geneid:100132707	hsa:100132707
ncbi-geneid:100132708	hsa:100132708
ncbi-geneid:100132724	hsa:100132724
ncbi-geneid:100132735	hsa:100132735
ncbi-geneid:100132741	hsa:100132741
ncbi-geneid:100132774	hsa:100132774
ncbi-geneid:100132781	hsa:100132781
ncbi-geneid:100132813	hsa:100132813
ncbi-geneid:100132815	hsa:100132815
ncbi-geneid:100132831	hsa:100132831
ncbi-geneid:100132832	hsa:100132832
ncbi-geneid:100132874	hsa:100132874
ncbi-geneid:100132891	hsa:100132891
ncbi-geneid:100132911	hsa:100132911
ncbi-geneid:100132916	hsa:100132916
ncbi-geneid:100132923	hsa:100132923
ncbi-geneid:100132929	hsa:100132929
ncbi-geneid:100132932	hsa:100132932
ncbi-geneid:100132948	hsa:100132948
ncbi-geneid:100132967	hsa:100132967
ncbi-geneid:100132979	hsa:100132979
ncbi-geneid:100132987	hsa:100132987
ncbi-geneid:100132994	hsa:100132994
ncbi-geneid:100133036	hsa:100133036
ncbi-geneid:100133050	hsa:100133050
ncbi-geneid:100133053	hsa:100133053
ncbi-geneid:100133077	hsa:100133077
ncbi-geneid:100133091	hsa:100133091
ncbi-geneid:100133121	hsa:100133121
ncbi-geneid:100133123	hsa:100133123
ncbi-geneid:100133161	hsa:100133161
ncbi-geneid:100133172	hsa:100133172
ncbi-geneid:100133204	hsa:100133204
ncbi-geneid:100133205	hsa:100133205
ncbi-geneid:100133234	hsa:100133234
ncbi-geneid:100133267	hsa:100133267
ncbi-geneid:100133286	hsa:100133286
ncbi-geneid:100133308	hsa:100133308
ncbi-geneid:100133311	hsa:100133311
ncbi-geneid:100133315	hsa:100133315
ncbi-geneid:100133319	hsa:100133319
ncbi-geneid:100133331	hsa:100133331
ncbi-geneid:100133461	hsa:100133461
ncbi-geneid:100133545	hsa:100133545
ncbi-geneid:100133612	hsa:100133612
ncbi-geneid:100133669	hsa:100133669
ncbi-geneid:100133920	hsa:100133920
ncbi-geneid:100133941	hsa:100133941
ncbi-geneid:100133957	hsa:100133957
ncbi-geneid:100133985	hsa:100133985
ncbi-geneid:100133991	hsa:100133991
ncbi-geneid:100134015	hsa:100134015
